"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"SLC25A47",673.610455171281,8.63111414305882,0.524994353212009,16.4403942447231,9.82775302055221e-61,9.355365692031e-58,8.63111414305882
"C9",2253.4582373109,9.2943328342,0.568411209764585,16.3514242409987,4.24930765178369e-60,3.91457186837544e-57,9.2943328342
"AHSG",5197.70624214822,9.58461804010087,0.589090943881337,16.270183983734,1.60674261372839e-59,1.39046532008652e-56,9.58461804010087
"HPD",2129.99889560057,8.8192669748744,0.542700793166682,16.2506985173425,2.20833895265452e-59,1.85487481793847e-56,8.8192669748744
"ALB",146476.669060561,9.69246857792137,0.598549802068884,16.1932533340073,5.62730021439222e-59,4.46401220896147e-56,9.69246857792137
"UGT2B4",715.121265994272,9.47733098198175,0.588253178519794,16.1109728396697,2.13636190024696e-58,1.64892494992575e-55,9.47733098198175
"RDH16",649.625878043021,8.11057060523634,0.504485742237809,16.076907484559,3.70413863063112e-58,2.78375765825167e-55,8.11057060523634
"MAT1A",3699.91760054459,9.13624076845255,0.570775809014129,16.0067063532933,1.1472427081537e-57,8.40075827165472e-55,9.13624076845255
"TF",10693.9552828061,8.84785246698771,0.553968355144068,15.9717651465609,2.01015761819835e-57,1.43515203151271e-54,8.84785246698771
"CYP2C8",1171.48396813691,8.15048041968759,0.515787665808352,15.8020072211576,3.0136601872762e-56,2.04914541971985e-53,8.15048041968759
"CYP4A11",1331.59896016555,9.45985687489761,0.606409086295265,15.5997940807429,7.30292901821782e-55,4.73993288414237e-52,9.45985687489761
"APOA5",616.130619133231,9.35576037879031,0.601090555477445,15.5646437854261,1.26572818101049e-54,8.03259230962167e-52,9.35576037879031
"HRG",7055.41353991437,9.94093480871996,0.64119541991584,15.5037520542875,3.27212564289932e-54,1.98819923638125e-51,9.94093480871996
"ARG1",879.654426681627,8.74097777031077,0.564115220471758,15.4950220329118,3.74832267244745e-54,2.22636054723413e-51,8.74097777031077
"LOC124906240",448.567434321433,8.24656770640843,0.532249371562871,15.4938044965532,3.82000374026446e-54,2.22636054723413e-51,8.24656770640843
"SLC2A2",1133.70475646769,9.59144909448051,0.619756926300209,15.4761466753409,5.02694947067662e-54,2.87119245967166e-51,9.59144909448051
"CFHR1",1327.48645657568,9.35422881512254,0.607409105769378,15.4002116963228,1.63134409970991e-53,8.95921630759917e-51,9.35422881512254
"LBP",1343.57145698378,9.30435048018145,0.605747204344954,15.3601212080591,3.03007602103914e-53,1.63269643412898e-50,9.30435048018145
"HPR",732.148976031105,9.29573886127633,0.609249596990792,15.2576856959609,1.46347438078608e-52,7.73961136416461e-50,9.29573886127633
"ANGPTL3",632.202582062578,9.36743646965035,0.614149646536912,15.2526937408037,1.57978856880423e-52,8.20283671780203e-50,9.36743646965035
"CYP8B1",490.26769794698,8.38528545627153,0.550600805189642,15.2293374387337,2.258688487543e-52,1.15185046120095e-49,8.38528545627153
